title,link,price,location,year,mileage,type,automatisk
Toyota Yaris,https://www.blocket.se/mobility/item/14143040,254900,Norrtälje ∙ Biltrean Norrtälje Nya Bilar,2025,0,Hybrid bensin,Automatisk
Skoda Octavia RS,https://www.blocket.se/mobility/item/19045812,437500,Haninge ∙ Bilia Haninge Skoda,2026,0,Bensin,Automatisk
Dacia Sandero Stepway,https://www.blocket.se/mobility/item/20194593,256200,Hisings Kärra ∙ Hedin Automotive Tagene,2025,0,Bensin,Automatisk
Dacia Sandero Stepway,https://www.blocket.se/mobility/item/19270711,256200,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Nissan Juke,https://www.blocket.se/mobility/item/13742169,258000,Malmö ∙ Bilia Jägersro Nissan,2025,0,Bensin,Automatisk
Nissan Juke,https://www.blocket.se/mobility/item/19270865,258000,Hisings Kärra ∙ Hedin Automotive Tagene,2025,0,Bensin,Automatisk
Seat Arona,https://www.blocket.se/mobility/item/19433941,259000,Upplands Väsby ∙ Aftén Bil CUPRA Upplands Väsby Nybil,2026,0,Bensin,Automatisk
Suzuki Swift,https://www.blocket.se/mobility/item/19269707,259900,Bromma ∙ Bjurkell Bil Bromma,2025,0,Bensin,Automatisk
Suzuki Swift,https://www.blocket.se/mobility/item/19411531,259900,Bromma ∙ Bjurkell Bil Bromma,2025,0,Bensin,Automatisk
Kia Stonic,https://www.blocket.se/mobility/item/20122308,259900,Åkersberga ∙ Aftén Bil KIA Åkersberga Nybil,2025,0,Hybrid bensin,Automatisk
DS 3 Crossback,https://www.blocket.se/mobility/item/13532757,259900,Västra Frölunda ∙ J BIL Frölunda,2023,1,El,396 km räckvidd
Kia Stonic,https://www.blocket.se/mobility/item/19629902,259900,Järfälla ∙ Aftén Bil KIA Barkarby Nybil,2025,0,Bensin,Automatisk
Skoda Fabia,https://www.blocket.se/mobility/item/18995422,259900,Norrtälje ∙ AB Norrbil,2026,0,Bensin,Automatisk
Citroen C4,https://www.blocket.se/mobility/item/18051906,259900,Malmö ∙ Hedbergs Bil AB,2025,0,Bensin,Automatisk
Citroen C4,https://www.blocket.se/mobility/item/18051819,259900,Malmö ∙ Hedbergs Bil AB,2025,0,Bensin,Automatisk
Peugeot 208,https://www.blocket.se/mobility/item/17933182,259900,Täby ∙ J BIL Täby,2025,0,Hybrid bensin,Automatisk
Suzuki Swift,https://www.blocket.se/mobility/item/13534351,261800,Malmö ∙ Suzuki Malmö,2025,0,Bensin,Automatisk
Suzuki Swift,https://www.blocket.se/mobility/item/13533582,261800,Malmö ∙ Suzuki Malmö,2025,0,Hybrid bensin,Automatisk
Nissan Juke,https://www.blocket.se/mobility/item/18911021,263000,Stockholm ∙ Hedin Automotive Akalla,2025,0,Bensin,Automatisk
Seat Arona,https://www.blocket.se/mobility/item/19435733,264000,Upplands Väsby ∙ Aftén Bil CUPRA Upplands Väsby Nybil,2026,0,Bensin,Automatisk
Kia Stonic,https://www.blocket.se/mobility/item/19550615,264900,Bromma ∙ Aftén Bil KIA Bromma Nybil,2025,0,Hybrid bensin,Automatisk
Peugeot 208,https://www.blocket.se/mobility/item/20110555,264900,Skärholmen ∙ J Bil Sätra,2026,0,Hybrid bensin,Automatisk
Peugeot 208,https://www.blocket.se/mobility/item/20110545,264900,Norrtälje ∙ J BIL Norrtälje,2026,0,Hybrid bensin,Automatisk
Peugeot 208,https://www.blocket.se/mobility/item/20110520,264900,Hisings Kärra ∙ J BIL Tagene,2026,0,Hybrid bensin,Automatisk
Peugeot 208,https://www.blocket.se/mobility/item/20110511,264900,Västra Frölunda ∙ J BIL Frölunda,2026,0,Hybrid bensin,Automatisk
Peugeot 208,https://www.blocket.se/mobility/item/20110493,264900,Vällingby ∙ J BIL Vällingby,2026,0,Hybrid bensin,Automatisk
Peugeot 208,https://www.blocket.se/mobility/item/20110481,264900,Handen ∙ J BIL Haninge,2026,0,Hybrid bensin,Automatisk
Peugeot 208,https://www.blocket.se/mobility/item/20110473,264900,Täby ∙ J BIL Täby,2026,0,Hybrid bensin,Automatisk
Peugeot 208,https://www.blocket.se/mobility/item/20110459,264900,Upplands Väsby ∙ J BIL Väsby,2026,0,Hybrid bensin,Automatisk
Honda Jazz,https://www.blocket.se/mobility/item/13464248,264900,Stockholm ∙ Hedin Automotive Akalla,2025,0,Hybrid bensin,Automatisk
Kia Stonic,https://www.blocket.se/mobility/item/19549971,264900,Bromma ∙ Aftén Bil KIA Bromma Nybil,2025,0,Hybrid bensin,Automatisk
Peugeot 208,https://www.blocket.se/mobility/item/18420691,264900,Malmö ∙ Hedbergs Bil AB,2026,0,Bensin,Automatisk
Citroen C4,https://www.blocket.se/mobility/item/13532855,264900,Upplands Väsby ∙ J BIL Väsby,2023,0,Bensin,Automatisk
Suzuki Swift,https://www.blocket.se/mobility/item/13759409,266400,Bromma ∙ Bjurkell Bil Bromma,2025,0,Bensin,Automatisk
Suzuki Swift,https://www.blocket.se/mobility/item/15260458,266500,Bromma ∙ Bjurkell Bil Bromma,2024,0,Bensin,Automatisk
